creator_id,creator_name,platform,category,tier,knowledge_text,embedding_version,last_updated
CRE_0001,Trinh Pham,TikTok,Fashion,Mid-tier,"Trinh Pham là một Mid-tier creator hoạt động chủ yếu trên TikTok, chuyên sản xuất nội dung trong lĩnh vực Fashion. Creator này hiện có 278,248 người theo dõi với engagement rate 8.44%. Trong năm 2024, Trinh Pham đã tham gia 3 chiến dịch, hoạt động trong 92 ngày, với tổng ngân sách chi tiêu 698.1M VND và doanh thu quy đổi 135.6M VND. Chỉ số ROI đạt -80.6% và ROAS là 0.19x. Creator phù hợp với các chiến dịch nhắm đến thế hệ trẻ Gen Z và Millennials. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0002,Linh Nguyen,Shopee Live,Fashion,Mega,"Linh Nguyen là một Mega creator hoạt động chủ yếu trên Shopee Live, chuyên sản xuất nội dung trong lĩnh vực Fashion. Creator này hiện có 6,971,986 người theo dõi với engagement rate 7.62%. Trong năm 2024, Linh Nguyen đã tham gia 3 chiến dịch, hoạt động trong 75 ngày, với tổng ngân sách chi tiêu 554.5M VND và doanh thu quy đổi 122.4M VND. Chỉ số ROI đạt -77.9% và ROAS là 0.22x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0003,Bao Tran,Shopee Live,Technology,Mega,"Bao Tran là một Mega creator hoạt động chủ yếu trên Shopee Live, chuyên sản xuất nội dung trong lĩnh vực Technology. Creator này hiện có 4,576,300 người theo dõi với engagement rate 5.61%. Trong năm 2024, Bao Tran đã tham gia 2 chiến dịch, hoạt động trong 29 ngày, với tổng ngân sách chi tiêu 205.8M VND và doanh thu quy đổi 124.3M VND. Chỉ số ROI đạt -39.6% và ROAS là 0.60x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0004,Mai Le,YouTube,Beauty & Skincare,Mega,"Mai Le là một Mega creator hoạt động chủ yếu trên YouTube, chuyên sản xuất nội dung trong lĩnh vực Beauty & Skincare. Creator này hiện có 1,344,319 người theo dõi với engagement rate 8.68%. Trong năm 2024, Mai Le đã tham gia 5 chiến dịch, hoạt động trong 130 ngày, với tổng ngân sách chi tiêu 1209.6M VND và doanh thu quy đổi 144.3M VND. Chỉ số ROI đạt -88.1% và ROAS là 0.12x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0005,Duc Hoang,Instagram,Technology,Mega,"Duc Hoang là một Mega creator hoạt động chủ yếu trên Instagram, chuyên sản xuất nội dung trong lĩnh vực Technology. Creator này hiện có 2,828,559 người theo dõi với engagement rate 2.12%. Trong năm 2024, Duc Hoang đã tham gia 7 chiến dịch, hoạt động trong 183 ngày, với tổng ngân sách chi tiêu 2598.0M VND và doanh thu quy đổi 111.3M VND. Chỉ số ROI đạt -95.7% và ROAS là 0.04x. Creator phù hợp với các chiến dịch nhắm đến thế hệ trẻ Gen Z và Millennials. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0006,Trang Vu,YouTube,Health & Fitness,Mega,"Trang Vu là một Mega creator hoạt động chủ yếu trên YouTube, chuyên sản xuất nội dung trong lĩnh vực Health & Fitness. Creator này hiện có 2,223,961 người theo dõi với engagement rate 9.88%. Trong năm 2024, Trang Vu đã tham gia 5 chiến dịch, hoạt động trong 121 ngày, với tổng ngân sách chi tiêu 1237.7M VND và doanh thu quy đổi 102.4M VND. Chỉ số ROI đạt -91.7% và ROAS là 0.08x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0007,Khanh Do,YouTube,Fashion,Mega,"Khanh Do là một Mega creator hoạt động chủ yếu trên YouTube, chuyên sản xuất nội dung trong lĩnh vực Fashion. Creator này hiện có 6,297,448 người theo dõi với engagement rate 7.35%. Trong năm 2024, Khanh Do đã tham gia 1 chiến dịch, hoạt động trong 42 ngày, với tổng ngân sách chi tiêu 331.3M VND và doanh thu quy đổi 111.2M VND. Chỉ số ROI đạt -66.4% và ROAS là 0.34x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0008,Huong Bui,Lazada Live,Fashion,Mid-tier,"Huong Bui là một Mid-tier creator hoạt động chủ yếu trên Lazada Live, chuyên sản xuất nội dung trong lĩnh vực Fashion. Creator này hiện có 389,402 người theo dõi với engagement rate 8.27%. Trong năm 2024, Huong Bui đã tham gia 4 chiến dịch, hoạt động trong 168 ngày, với tổng ngân sách chi tiêu 1477.5M VND và doanh thu quy đổi 126.1M VND. Chỉ số ROI đạt -91.5% và ROAS là 0.09x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0009,Nam Phan,TikTok,Technology,Macro,"Nam Phan là một Macro creator hoạt động chủ yếu trên TikTok, chuyên sản xuất nội dung trong lĩnh vực Technology. Creator này hiện có 852,261 người theo dõi với engagement rate 5.18%. Trong năm 2024, Nam Phan đã tham gia 4 chiến dịch, hoạt động trong 159 ngày, với tổng ngân sách chi tiêu 1454.7M VND và doanh thu quy đổi 116.7M VND. Chỉ số ROI đạt -92.0% và ROAS là 0.08x. Creator phù hợp với các chiến dịch nhắm đến thế hệ trẻ Gen Z và Millennials. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0010,Thu Dang,YouTube,Food & Beverage,Mega,"Thu Dang là một Mega creator hoạt động chủ yếu trên YouTube, chuyên sản xuất nội dung trong lĩnh vực Food & Beverage. Creator này hiện có 3,110,303 người theo dõi với engagement rate 4.91%. Trong năm 2024, Thu Dang đã tham gia 2 chiến dịch, hoạt động trong 52 ngày, với tổng ngân sách chi tiêu 610.5M VND và doanh thu quy đổi 131.0M VND. Chỉ số ROI đạt -78.5% và ROAS là 0.21x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
