customer_id,region,acquisition_source,acquisition_date,age_group,gender,customer_segment,lifetime_value_vnd
CST_000001,Bình Dương,Referral,2024-12-06,18-24,Unknown,VIP,0
CST_000002,Cần Thơ,Shopee Ads,2024-09-16,35-44,Female,VIP,0
CST_000003,Đà Nẵng,Facebook Ads,2024-10-10,45-54,Unknown,Churned,0
CST_000004,Đà Nẵng,Organic Search,2024-12-12,45-54,Unknown,New,0
CST_000005,Cần Thơ,Facebook Ads,2024-06-04,45-54,Unknown,VIP,0
CST_000006,Huế,Email,2024-08-26,25-34,Unknown,Churned,0
CST_000007,TP.HCM,Organic Search,2024-03-27,55+,Unknown,VIP,0
CST_000008,Hải Phòng,Organic Search,2024-02-17,25-34,Male,Returning,0
CST_000009,Hà Nội,Facebook Ads,2024-01-13,45-54,Unknown,New,0
CST_000010,Đồng Nai,Facebook Ads,2024-08-21,45-54,Female,Churned,0
CST_000011,Đà Nẵng,TikTok Ads,2024-05-04,18-24,Female,Returning,0
CST_000012,Huế,TikTok Ads,2024-03-31,55+,Male,New,0
CST_000013,Đà Nẵng,Email,2024-08-21,55+,Unknown,VIP,0
CST_000014,Đồng Nai,Email,2024-08-14,25-34,Unknown,Churned,0
CST_000015,Cần Thơ,Facebook Ads,2024-08-18,35-44,Unknown,Churned,0
CST_000016,Hải Phòng,Organic Search,2024-11-16,45-54,Male,VIP,0
CST_000017,Cần Thơ,Referral,2024-04-30,35-44,Unknown,New,0
CST_000018,Đà Nẵng,Facebook Ads,2024-03-11,45-54,Unknown,Returning,0
CST_000019,Hải Phòng,Instagram Ads,2024-12-27,45-54,Female,VIP,0
CST_000020,Huế,Shopee Ads,2024-10-04,18-24,Male,Churned,0
CST_000021,Hà Nội,Shopee Ads,2024-07-18,45-54,Male,VIP,0
CST_000022,Đồng Nai,Shopee Ads,2024-06-01,55+,Unknown,Returning,0
CST_000023,Hải Phòng,Organic Search,2024-09-06,45-54,Female,New,0
CST_000024,Bình Dương,Shopee Ads,2024-07-18,25-34,Female,Returning,0
CST_000025,Hà Nội,Shopee Ads,2024-11-14,55+,Unknown,New,0
CST_000026,Đồng Nai,Google Ads,2024-02-12,45-54,Male,New,0
CST_000027,Đồng Nai,Referral,2024-05-13,25-34,Female,VIP,0
CST_000028,Đồng Nai,Organic Search,2024-06-21,45-54,Female,New,0
CST_000029,Hà Nội,TikTok Ads,2024-08-28,35-44,Male,New,0
CST_000030,Hà Nội,TikTok Ads,2024-11-29,25-34,Male,New,0
CST_000031,Đà Nẵng,Facebook Ads,2024-11-14,25-34,Female,New,0
CST_000032,Hải Phòng,Email,2024-10-15,35-44,Female,Returning,0
CST_000033,TP.HCM,Google Ads,2024-11-06,35-44,Male,New,0
CST_000034,Đồng Nai,Shopee Ads,2024-06-08,25-34,Male,Returning,0
CST_000035,Cần Thơ,Instagram Ads,2024-02-22,55+,Male,VIP,0
CST_000036,Đồng Nai,Referral,2024-09-29,18-24,Unknown,VIP,0
CST_000037,Đồng Nai,Email,2024-01-07,18-24,Female,VIP,0
CST_000038,Huế,Google Ads,2024-11-21,45-54,Male,VIP,0
CST_000039,Huế,Email,2024-11-11,45-54,Unknown,VIP,0
CST_000040,Hải Phòng,Instagram Ads,2024-06-14,35-44,Female,Returning,0
CST_000041,Đồng Nai,Referral,2024-08-25,18-24,Female,VIP,0
CST_000042,Huế,Facebook Ads,2024-04-03,35-44,Female,VIP,0
CST_000043,Cần Thơ,TikTok Ads,2024-05-23,55+,Male,New,0
CST_000044,Đồng Nai,Email,2024-05-03,55+,Male,Churned,0
CST_000045,Huế,Email,2024-11-26,18-24,Male,VIP,0
CST_000046,Đồng Nai,Facebook Ads,2024-04-23,35-44,Unknown,VIP,0
CST_000047,Bình Dương,Shopee Ads,2024-08-30,55+,Female,VIP,0
CST_000048,Huế,Organic Search,2024-12-25,35-44,Female,Returning,0
CST_000049,Hải Phòng,Referral,2024-03-02,18-24,Unknown,Returning,0
CST_000050,Hải Phòng,Email,2024-04-08,35-44,Unknown,VIP,0
CST_000051,Hải Phòng,Organic Search,2024-02-21,25-34,Female,Returning,0
CST_000052,Hà Nội,Google Ads,2024-06-03,35-44,Male,New,0
CST_000053,Cần Thơ,Google Ads,2024-10-10,45-54,Male,New,0
CST_000054,Cần Thơ,Email,2024-10-20,45-54,Female,VIP,0
CST_000055,Hà Nội,Organic Search,2024-04-04,45-54,Male,New,0
CST_000056,Huế,Instagram Ads,2024-07-24,55+,Unknown,New,0
CST_000057,Đà Nẵng,Organic Search,2024-03-18,18-24,Male,New,0
CST_000058,Đồng Nai,Facebook Ads,2024-10-12,55+,Female,Churned,0
CST_000059,Cần Thơ,Shopee Ads,2024-08-14,35-44,Unknown,New,0
CST_000060,TP.HCM,Facebook Ads,2024-11-08,25-34,Female,New,0
CST_000061,Hải Phòng,Google Ads,2024-03-21,55+,Male,Returning,0
CST_000062,Đồng Nai,Email,2024-01-02,55+,Female,VIP,0
CST_000063,Hải Phòng,Organic Search,2024-01-17,35-44,Unknown,Churned,0
CST_000064,Hải Phòng,Organic Search,2024-02-06,55+,Unknown,Returning,0
CST_000065,TP.HCM,Facebook Ads,2024-08-05,25-34,Female,Returning,0
CST_000066,Hà Nội,Google Ads,2024-02-06,35-44,Unknown,VIP,0
CST_000067,TP.HCM,Email,2024-08-12,35-44,Unknown,Churned,0
CST_000068,Huế,Email,2024-05-19,18-24,Unknown,New,0
CST_000069,Bình Dương,Organic Search,2024-08-09,18-24,Male,Returning,0
CST_000070,Hà Nội,Organic Search,2024-12-11,55+,Male,Returning,0
CST_000071,Huế,Organic Search,2024-08-28,25-34,Unknown,Churned,0
CST_000072,Huế,Instagram Ads,2024-11-21,45-54,Female,Churned,0
CST_000073,Bình Dương,Instagram Ads,2024-06-19,25-34,Female,Churned,0
CST_000074,Huế,Organic Search,2024-12-21,45-54,Unknown,New,0
CST_000075,TP.HCM,Referral,2024-08-20,35-44,Female,New,0
CST_000076,Hà Nội,Email,2024-07-25,45-54,Male,Returning,0
CST_000077,Bình Dương,Email,2024-09-22,45-54,Male,Returning,0
CST_000078,Đà Nẵng,Organic Search,2024-05-16,45-54,Unknown,Churned,0
CST_000079,Hà Nội,Facebook Ads,2024-03-03,25-34,Female,New,0
CST_000080,Đồng Nai,Instagram Ads,2024-10-09,25-34,Male,Churned,0
CST_000081,Đà Nẵng,Email,2024-03-01,35-44,Unknown,VIP,0
CST_000082,Huế,Email,2024-07-31,25-34,Female,Returning,0
CST_000083,Hải Phòng,Google Ads,2024-07-15,18-24,Female,Churned,0
CST_000084,Cần Thơ,TikTok Ads,2024-06-23,35-44,Unknown,VIP,0
CST_000085,Huế,Google Ads,2024-10-27,45-54,Unknown,Churned,0
CST_000086,Bình Dương,Shopee Ads,2024-06-25,45-54,Female,Returning,0
CST_000087,Hải Phòng,Shopee Ads,2024-12-23,25-34,Female,New,0
CST_000088,Huế,Shopee Ads,2024-06-11,45-54,Unknown,Returning,0
CST_000089,Hà Nội,Google Ads,2024-09-10,55+,Unknown,VIP,0
CST_000090,Huế,Instagram Ads,2024-02-21,55+,Female,New,0
CST_000091,Đồng Nai,Google Ads,2024-03-14,18-24,Female,VIP,0
CST_000092,Đồng Nai,Instagram Ads,2024-06-22,35-44,Unknown,Churned,0
CST_000093,Huế,TikTok Ads,2024-06-11,55+,Male,Returning,0
CST_000094,Cần Thơ,Facebook Ads,2024-11-19,18-24,Female,New,0
CST_000095,TP.HCM,Email,2024-11-20,25-34,Unknown,VIP,0
CST_000096,Hà Nội,Referral,2024-01-15,18-24,Female,VIP,0
CST_000097,Đồng Nai,Google Ads,2024-07-10,25-34,Unknown,Churned,0
CST_000098,Đà Nẵng,Google Ads,2024-10-16,25-34,Male,Churned,0
CST_000099,Hải Phòng,Email,2024-11-13,55+,Male,Returning,0
CST_000100,Cần Thơ,Email,2024-08-24,35-44,Unknown,New,0
CST_000101,Cần Thơ,Google Ads,2024-08-26,18-24,Female,VIP,0
CST_000102,Cần Thơ,Shopee Ads,2024-10-27,35-44,Female,VIP,0
CST_000103,Đồng Nai,Email,2024-04-11,18-24,Male,Churned,0
CST_000104,Bình Dương,Organic Search,2024-10-19,35-44,Male,Churned,0
CST_000105,Hà Nội,TikTok Ads,2024-05-20,55+,Unknown,Churned,0
CST_000106,Hải Phòng,Referral,2024-05-26,25-34,Unknown,Returning,0
CST_000107,Cần Thơ,Google Ads,2024-11-13,18-24,Unknown,New,0
CST_000108,Huế,TikTok Ads,2024-06-07,55+,Female,Returning,0
CST_000109,Cần Thơ,Referral,2024-02-16,45-54,Male,Returning,0
CST_000110,Bình Dương,Organic Search,2024-03-08,25-34,Female,Churned,0
CST_000111,Bình Dương,Instagram Ads,2024-05-31,45-54,Male,Returning,0
CST_000112,Đồng Nai,Referral,2024-04-25,18-24,Female,New,0
CST_000113,TP.HCM,Email,2024-05-15,35-44,Unknown,VIP,0
CST_000114,Đồng Nai,Referral,2024-10-26,18-24,Unknown,Returning,0
CST_000115,Hà Nội,Referral,2024-08-29,55+,Male,New,0
CST_000116,Huế,Organic Search,2024-11-21,45-54,Male,Returning,0
CST_000117,Hà Nội,Organic Search,2024-01-24,45-54,Male,New,0
CST_000118,Đà Nẵng,Shopee Ads,2024-04-30,45-54,Female,Churned,0
CST_000119,Đà Nẵng,Shopee Ads,2024-10-27,18-24,Female,Churned,0
CST_000120,Hà Nội,Referral,2024-05-23,25-34,Female,Churned,0
CST_000121,Bình Dương,Instagram Ads,2024-04-30,35-44,Unknown,VIP,0
CST_000122,Đồng Nai,Organic Search,2024-02-01,25-34,Male,Churned,0
CST_000123,Hải Phòng,TikTok Ads,2024-02-16,18-24,Female,Returning,0
CST_000124,Hải Phòng,Instagram Ads,2024-03-05,55+,Male,Returning,0
CST_000125,Bình Dương,Google Ads,2024-04-29,55+,Male,VIP,0
CST_000126,Đà Nẵng,Organic Search,2024-03-15,25-34,Male,New,0
CST_000127,Hà Nội,Referral,2024-03-08,25-34,Unknown,VIP,0
CST_000128,Đà Nẵng,Organic Search,2024-01-09,18-24,Male,Churned,0
CST_000129,TP.HCM,Instagram Ads,2024-09-26,45-54,Female,VIP,0
CST_000130,TP.HCM,Email,2024-09-19,55+,Male,New,0
CST_000131,Cần Thơ,Email,2024-12-03,18-24,Male,Churned,0
CST_000132,Đồng Nai,Instagram Ads,2024-07-24,45-54,Unknown,Churned,0
CST_000133,TP.HCM,Referral,2024-02-07,55+,Male,New,0
CST_000134,Cần Thơ,Referral,2024-03-05,45-54,Unknown,VIP,0
CST_000135,Đồng Nai,Instagram Ads,2024-08-20,18-24,Unknown,Returning,0
CST_000136,Huế,Facebook Ads,2024-08-08,45-54,Female,Churned,0
CST_000137,Đồng Nai,Instagram Ads,2024-07-23,35-44,Female,VIP,0
CST_000138,Cần Thơ,Referral,2024-12-06,25-34,Unknown,Churned,0
CST_000139,TP.HCM,Instagram Ads,2024-02-04,18-24,Female,New,0
CST_000140,Đà Nẵng,TikTok Ads,2024-07-09,55+,Unknown,VIP,0
CST_000141,TP.HCM,Shopee Ads,2024-12-09,35-44,Unknown,Churned,0
CST_000142,Cần Thơ,Organic Search,2024-01-27,35-44,Male,Returning,0
CST_000143,Huế,Facebook Ads,2024-03-20,18-24,Female,VIP,0
CST_000144,Cần Thơ,Facebook Ads,2024-02-28,45-54,Unknown,New,0
CST_000145,Cần Thơ,TikTok Ads,2024-11-07,25-34,Female,VIP,0
CST_000146,Bình Dương,TikTok Ads,2024-06-22,25-34,Male,Churned,0
CST_000147,Đà Nẵng,TikTok Ads,2024-02-05,18-24,Unknown,Returning,0
CST_000148,Đồng Nai,Email,2024-07-11,35-44,Male,VIP,0
CST_000149,Bình Dương,Instagram Ads,2024-06-08,18-24,Male,Returning,0
CST_000150,Hà Nội,Instagram Ads,2024-11-12,35-44,Female,Churned,0
